text,category,cleaned
The bill was much higher than expected.,Billing,bill much higher expected
I waited for three hours to see a doctor.,Waiting Time,waited three hour see doctor
Wait times are absolutely ridiculous here.,Waiting Time,wait time absolutely ridiculous
The nurse was very rude to my family.,Staff Behavior,nurse rude family
Staff behavior was unprofessional.,Staff Behavior,staff behavior unprofessional
The doctor explained everything clearly but wait was long.,Waiting Time,doctor explained everything clearly wait long
Incorrect billing for the laboratory tests.,Billing,incorrect billing laboratory test
The facility was not clean.,Facility,facility clean
The room was very dirty and smelled bad.,Facility,room dirty smelled bad
"Medical quality was excellent, but administrative staff was poor.",Clinical Quality,medical quality excellent administrative staff poor
"Excellent surgery, very professional clinical team.",Clinical Quality,excellent surgery professional clinical team
The receptionist refused to help me with the form.,Staff Behavior,receptionist refused help form
